"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2019,201901,6725,2019000296381,7585.2,2019000067251,250001,1,1,7430.4,0,0,2,24,3,1,100,0,0,8,81,1,10,5400,1,11
2019,201901,7190,2019000326482,8359.2,2019000071901,250001,1,1,8359.2,1,1,2,22,1,1,100,0,0,6,63,1,10,15800,1,11
2019,201901,7190,2019000326482,8359.2,2019000071901,250001,1,2,5418.0,1,1,1,22,1,1,100,0,0,6,61,1,10,25000,1,11
2019,201901,7499,2019000349228,1393.2,2019000074991,230001,1,1,1548.0,0,0,1,62,1,1,100,0,0,7,71,1,10,129000,2,20
2019,201901,7499,2019000349228,1393.2,2019000074991,230001,1,2,1702.8,0,0,2,62,1,1,100,0,0,7,71,1,10,250,1,11
2019,201901,8118,2019000395100,3096.0,2019000081181,40001,1,1,3096.0,0,0,2,57,4,1,100,0,0,8,81,1,10,62000,1,11
2019,201901,8583,2019000428282,35913.6,2019000085831,260001,1,1,35913.6,0,0,2,39,6,2,200,0,0,11,114,1,10,44000,1,11
2019,201901,8892,2019000449697,8978.4,2019000088921,230001,1,1,8978.4,0,0,1,53,1,1,100,0,0,6,63,1,10,68000,1,11
2019,201901,9047,2019000460348,20898.0,2019000090471,210001,1,1,20898.0,0,0,1,28,1,1,100,0,0,10,101,1,10,35000,1,11
2019,201901,9047,2019000460348,20898.0,2019000090471,210001,1,2,17956.8,0,0,2,24,1,1,100,0,0,10,101,1,10,55000,1,11
2019,201901,9202,2019000470351,3560.4,2019000092021,170001,1,1,3405.6,1,0,2,50,6,2,200,0,0,6,63,1,10,20000,1,11
2019,201901,9512,2019000493063,2476.8,2019000095121,10001,1,2,8823.6,0,0,1,55,6,2,200,0,0,6,63,1,10,23900,1,11
2019,201901,9666,2019000503323,2941.2,2019000096661,250001,1,1,2941.2,3,0,1,43,1,1,100,0,0,11,115,1,10,156000,1,11
2019,201901,9666,2019000503323,2941.2,2019000096661,250001,1,2,2941.2,3,0,2,50,1,1,100,0,0,6,63,1,10,32000,1,11
2019,201901,9821,2019000513696,18576.0,2019000098211,130101,1,1,18576.0,1,0,2,57,1,2,200,0,0,6,65,1,10,30000,1,11
2019,201901,9821,2019000513696,18576.0,2019000098211,130101,1,3,34984.8,0,0,1,28,6,2,200,0,0,6,65,1,10,18000,1,11
2019,201901,9976,2019000524385,7275.6,2019000099761,160001,1,1,7275.6,1,1,2,38,1,1,100,0,0,10,101,1,10,36000,1,11
2019,201901,9976,2019000524385,7275.6,2019000099761,160001,1,2,6501.6,1,1,1,38,1,1,100,0,0,8,81,1,10,40000,1,11
2019,201901,10131,2019000536404,37306.8,2019000101311,80001,1,1,37306.8,2,0,2,38,1,1,100,0,0,7,71,1,10,42000,1,11
2019,201901,10131,2019000536404,37306.8,2019000101311,80001,1,2,37461.6,2,0,1,53,1,1,100,0,0,7,71,1,10,60000,1,11
2019,201901,10286,2019000546747,75697.2,2019000102861,50001,1,1,75852.0,1,0,1,47,1,1,100,0,0,10,101,1,10,124000,2,20
2019,201901,10286,2019000546747,75697.2,2019000102861,50001,1,2,69350.4,1,0,2,40,1,1,100,0,0,11,114,1,10,0,1,11
2019,201901,10595,2019000567297,25542.0,2019000105951,130101,1,1,25696.8,1,0,2,35,6,2,200,0,0,6,63,1,10,20000,1,11
2019,201901,10905,2019000588723,8514.0,2019000109051,140001,1,1,8514.0,0,0,1,55,1,1,100,0,0,6,64,1,10,100000,1,11
2019,201901,11060,2019000600346,4489.2,2019000110601,170001,1,1,4644.0,0,0,1,55,4,1,100,0,0,7,71,1,10,60000,1,11
2019,201901,11679,2019000643056,14396.4,2019000116791,270301,1,1,14396.4,2,0,1,45,1,2,200,0,0,10,101,1,10,75000,2,20
2019,201901,11679,2019000643056,14396.4,2019000116791,270301,1,2,16718.4,2,0,2,46,1,2,200,0,0,10,101,1,10,63000,1,11
2019,201901,11679,2019000643056,14396.4,2019000116791,270301,1,4,44118.0,0,0,1,20,6,2,200,0,0,6,65,1,10,16000,1,13
2019,201901,12143,2019000675101,18730.8,2019000121431,30201,1,1,18730.8,2,0,1,55,1,1,100,0,0,11,116,1,10,121000,2,20
2019,201901,12143,2019000675101,18730.8,2019000121431,30201,1,3,14396.4,0,0,1,34,6,1,100,0,0,7,71,1,10,38000,1,11
2019,201901,12608,2019000707795,4644.0,2019000126081,150001,1,2,9442.8,0,0,1,41,6,1,100,0,0,6,63,1,10,0,1,11
2019,201901,12917,2019000728014,2786.4,2019000129171,250001,1,2,6037.2,0,0,1,54,4,1,100,0,0,7,71,1,10,62000,1,11
2019,201901,13072,2019000739183,16408.8,2019000130721,200001,1,1,16408.8,0,0,2,65,4,1,100,0,0,10,101,1,10,42000,1,11
2019,201901,13227,2019000748463,11610.0,2019000132271,270201,1,1,11610.0,1,1,2,26,6,2,200,0,0,7,71,1,10,17000,1,11
2019,201901,13382,2019000760231,28328.4,2019000133821,260001,1,1,28328.4,0,0,1,25,1,1,100,0,0,10,101,1,10,28000,1,11
2019,201901,13382,2019000760231,28328.4,2019000133821,260001,1,2,10526.4,0,0,2,24,1,1,100,0,0,10,101,1,10,24000,1,11
2019,201901,13691,2019000783622,76626.0,2019000136911,260001,1,2,62539.2,0,0,1,31,1,7,700,1,100,4,40,1,10,19000,1,11
2019,201901,14001,2019000804561,2941.2,2019000140011,90001,1,1,2941.2,0,0,1,43,1,1,100,0,0,6,63,1,10,39000,1,11
2019,201901,14001,2019000804561,2941.2,2019000140011,90001,1,2,3715.2,0,0,2,35,1,1,100,0,0,6,63,1,10,30000,1,11
2019,201901,14465,2019000836368,3096.0,2019000144651,250001,1,1,3250.8,0,0,1,58,4,1,100,0,0,6,64,1,10,35000,1,11
2019,201901,14620,2019000847425,4798.8,2019000146201,200001,1,1,4798.8,0,0,1,47,6,2,200,0,0,6,61,1,10,5200,1,11
2019,201901,14775,2019000859204,12538.8,2019000147751,60001,1,1,12538.8,0,0,1,60,1,2,200,0,0,6,63,1,10,55000,1,11
2019,201901,14930,2019000870144,25542.0,2019000149301,130401,1,2,25387.2,1,0,1,45,1,1,100,0,0,7,71,1,10,368000,1,11
2019,201901,15084,2019000880505,7120.8,2019000150841,40001,1,2,6811.2,1,0,2,59,1,1,100,0,0,8,81,1,10,29000,1,11
2019,201901,15084,2019000880505,7120.8,2019000150841,40001,1,3,19504.8,0,0,1,58,4,1,100,0,0,8,81,1,10,2200,1,11
2019,201901,15239,2019000890332,2476.8,2019000152391,220001,1,1,2476.8,1,0,2,59,4,2,200,0,0,2,26,1,10,50000,1,11
2019,201901,15394,2019000901720,8359.2,2019000153941,200001,1,1,8514.0,0,0,2,31,1,1,100,0,0,11,114,1,10,45000,1,11
2019,201901,15394,2019000901720,8359.2,2019000153941,200001,1,2,10990.8,0,0,1,32,1,1,100,0,0,11,116,1,10,30000,1,11
2019,201901,15549,2019000912697,2167.2,2019000155491,50001,1,1,2167.2,1,0,2,48,6,1,100,0,0,6,64,1,10,12000,1,11
2019,201901,16013,2019000945168,7894.8,2019000160131,250001,1,1,8049.6,0,0,2,64,1,1,100,0,0,8,81,1,10,36000,1,11
2019,201901,16168,2019000955940,8359.2,2019000161681,260001,1,1,8359.2,2,0,1,43,1,1,100,0,0,7,71,1,10,48000,1,11
2019,201901,16168,2019000955940,8359.2,2019000161681,260001,1,2,10681.2,2,0,2,41,1,1,100,0,0,10,101,1,10,45000,1,11
2019,201901,16323,2019000967005,16254.0,2019000163231,90001,1,2,18421.2,0,0,2,51,1,1,100,0,0,0,2,1,10,14000,1,11
2019,201901,16478,2019000979584,15015.6,2019000164781,180001,1,1,15015.6,0,0,2,61,1,1,100,0,0,6,64,1,10,10200,1,11
2019,201901,16632,2019000989556,10836.0,2019000166321,60001,1,1,10836.0,2,0,2,42,1,8,802,0,0,8,81,1,10,22000,1,11
2019,201901,16632,2019000989556,10836.0,2019000166321,60001,1,2,5418.0,2,0,1,41,1,1,100,0,0,6,64,1,10,55000,1,11
2019,201901,16787,2019001000944,14860.8,2019000167871,270201,1,1,15015.6,0,0,1,27,6,8,816,0,0,11,114,1,10,44000,1,11
2019,201901,16787,2019001000944,14860.8,2019000167871,270201,1,2,13622.4,0,0,2,22,6,8,816,0,0,10,101,1,10,12000,1,11
2019,201901,16787,2019001000944,14860.8,2019000167871,270201,1,3,21826.8,0,0,1,20,6,8,816,0,0,6,61,1,10,22000,1,11
2019,201901,17097,2019001020372,4798.8,2019000170971,100001,1,2,4798.8,3,1,1,41,1,1,100,1,100,0,2,1,10,108000,1,11
2019,201901,17561,2019001052633,3250.8,2019000175611,60001,1,1,3405.6,0,0,2,63,4,1,100,0,0,10,101,1,10,200000,1,11
2019,201901,17716,2019001064796,22291.2,2019000177161,130201,1,1,22291.2,0,0,2,51,4,1,100,0,0,10,101,1,10,95000,1,11
2019,201901,17871,2019001076998,3250.8,2019000178711,230001,1,1,3250.8,0,0,1,48,1,1,100,0,0,8,81,1,10,103000,2,20
2019,201901,18026,2019001089612,4334.4,2019000180261,40001,1,1,4179.6,0,0,1,36,4,1,100,1,100,4,40,1,10,20000,1,11
2019,201901,18335,2019001111749,19350.0,2019000183351,210001,1,1,19504.8,0,0,1,30,6,1,100,0,0,6,63,1,10,65000,1,11
2019,201901,18490,2019001121610,12229.2,2019000184901,20001,1,2,11764.8,0,0,1,61,1,1,100,0,0,3,30,1,10,81000,1,11
2019,201901,18645,2019001132407,9907.2,2019000186451,30201,1,2,13003.2,1,0,2,57,1,1,100,0,0,7,71,1,10,6500,1,11
2019,201901,18645,2019001132407,9907.2,2019000186451,30201,1,3,16408.8,0,0,1,25,6,1,100,0,0,10,101,1,10,70000,1,11
2019,201901,19109,2019001163156,18421.2,2019000191091,150001,1,2,18576.0,2,0,1,40,1,1,100,0,0,10,101,1,10,69000,1,11
2019,201901,19264,2019001174751,29412.0,2019000192641,10001,1,1,29412.0,0,0,1,54,1,1,100,0,0,6,63,1,10,70000,1,11
2019,201901,19264,2019001174751,29412.0,2019000192641,10001,1,2,21362.4,0,0,2,52,1,1,100,0,0,6,64,1,10,20800,1,11
2019,201901,19728,2019001208186,1393.2,2019000197281,50001,1,1,1393.2,1,0,2,30,6,1,100,0,0,10,101,1,10,34000,1,11
2019,201901,19728,2019001208186,1393.2,2019000197281,50001,1,2,1083.6,1,0,2,30,6,6,600,0,0,8,81,1,10,40000,1,11
2019,201901,19883,2019001218451,9442.8,2019000198831,270101,1,1,9442.8,0,0,2,63,5,1,100,0,0,6,63,1,10,46200,1,11
2019,201901,20193,2019001239345,7585.2,2019000201931,130401,1,1,7585.2,2,1,1,40,1,1,100,0,0,8,81,1,10,80000,1,11
2019,201901,20193,2019001239345,7585.2,2019000201931,130401,1,2,9752.4,2,1,2,33,1,1,100,0,0,7,71,1,10,28000,1,11
2019,201901,20348,2019001251702,29257.2,2019000203481,270101,1,2,20124.0,0,0,1,62,1,2,200,0,0,6,63,1,10,55000,1,11
2019,201901,20502,2019001261455,23994.0,2019000205021,90001,1,1,23994.0,0,0,1,60,5,1,100,0,0,5,50,1,10,40000,1,11
2019,201901,20812,2019001282264,19814.4,2019000208121,130301,1,1,19814.4,0,0,2,35,6,2,200,0,0,10,101,1,10,50000,1,11
2019,201901,20967,2019001293380,9288.0,2019000209671,270301,1,2,10681.2,1,1,1,37,1,1,100,0,0,6,63,1,10,59000,1,11
2019,201901,21276,2019001315029,2167.2,2019000212761,230001,1,1,2167.2,2,0,2,38,4,1,100,0,0,7,71,1,10,42000,1,11
2019,201901,21276,2019001315029,2167.2,2019000212761,230001,1,2,4024.8,0,0,1,19,6,1,100,0,0,7,71,1,10,18700,1,11
2019,201901,21431,2019001325318,14241.6,2019000214311,260001,1,5,41796.0,0,0,1,33,6,1,100,0,0,10,101,1,10,8300,1,11
2019,201901,21586,2019001336831,1702.8,2019000215861,180001,1,1,1702.8,2,0,2,52,1,1,100,0,0,10,101,1,10,10200,1,11
2019,201901,21586,2019001336831,1702.8,2019000215861,180001,1,2,2786.4,2,0,1,51,1,1,100,0,0,7,71,1,10,70000,1,11
2019,201901,21586,2019001336831,1702.8,2019000215861,180001,1,3,5418.0,0,0,2,19,6,1,100,0,0,7,71,1,10,1500,1,11
2019,201901,21741,2019001347089,52786.8,2019000217411,220001,1,1,52941.6,1,1,2,19,6,2,200,0,0,6,63,1,10,9800,1,11
2019,201901,22050,2019001369905,21517.2,2019000220501,130101,1,1,21672.0,0,0,2,45,4,1,100,0,0,11,114,1,10,30000,1,11
2019,201901,22979,2019010096867,13777.2,2019000229791,10102,4,1,13777.2,0,0,1,18,6,1,100,0,0,6,63,1,14,20000,1,12
2019,201901,23444,2019000162588,7430.4,2019000234441,40002,1,1,7430.4,1,0,1,56,6,3,375,0,0,6,63,1,10,40000,1,11
2019,201901,23598,2019000247838,10681.2,2019000235981,40002,1,1,10836.0,1,1,1,44,1,1,100,0,0,8,81,1,14,55000,1,12
2019,201901,23753,2019000345801,19040.4,2019000237531,10102,1,1,19040.4,0,0,1,26,6,1,100,0,0,8,81,1,14,32000,1,12
2019,201901,23908,2019000434521,5727.6,2019000239081,40002,1,2,3405.6,2,0,2,47,6,1,100,0,0,8,81,1,10,65000,1,11
2019,201901,24063,2019000534848,8514.0,2019000240631,30002,1,1,8359.2,0,0,2,48,4,1,100,0,0,10,101,1,10,62000,1,11
2019,201901,24218,2019000639382,25851.6,2019000242181,30002,1,1,25851.6,0,0,1,44,1,1,100,0,0,11,116,1,10,120000,1,11
2019,201901,24218,2019000639382,25851.6,2019000242181,30002,1,2,36687.6,0,0,2,41,1,1,100,0,0,11,114,1,10,67000,1,11
2019,201901,24372,2019000729812,3870.0,2019000243721,20002,1,1,3870.0,2,0,2,35,4,1,100,0,0,6,63,1,10,0,1,11
2019,201901,24837,2019001034375,7585.2,2019000248371,40002,1,1,7585.2,2,0,1,52,1,1,100,0,0,8,81,1,10,90000,1,11
2019,201901,24837,2019001034375,7585.2,2019000248371,40002,1,2,3096.0,2,0,2,50,1,1,100,0,0,10,101,1,10,30000,1,11
2019,201901,24992,2019001130735,2941.2,2019000249921,40002,1,1,2941.2,0,0,1,56,2,1,100,0,0,11,116,1,10,75000,1,11
2019,201901,25301,2019001326986,9133.2,2019000253011,20002,1,1,9133.2,1,0,1,38,1,1,100,0,0,8,81,1,10,32000,1,11
2019,201901,25766,2019010014448,11919.6,2019000257661,90004,4,1,11919.6,0,0,1,23,6,2,200,0,0,7,71,1,14,24000,1,12
2019,201901,26694,2019010056942,13932.0,2019000266941,30004,4,1,13932.0,0,0,2,28,6,1,100,0,0,6,63,1,10,0,1,11
2019,201901,27004,2019010073519,12693.6,2019000270041,40004,4,1,12693.6,0,0,2,20,6,1,100,0,0,7,71,1,10,12000,1,11
2019,201901,27623,2019010102524,11300.4,2019000276231,20704,4,1,11300.4,0,0,1,19,6,1,100,1,100,6,65,1,10,10100,1,11
2019,201901,27778,2019010110611,5572.8,2019000277781,10304,4,1,5572.8,0,0,1,60,6,1,100,0,0,10,101,1,10,33000,1,11
2019,201901,29016,2019000018855,6346.8,2019000290161,20204,1,1,6346.8,0,0,2,24,6,1,100,0,0,10,101,1,10,72000,1,11
2019,201901,29326,2019000037833,18576.0,2019000293261,10104,1,1,18576.0,3,0,1,46,1,1,100,0,0,7,71,1,10,50000,1,11
2019,201901,29326,2019000037833,18576.0,2019000293261,10104,1,2,15789.6,3,0,2,42,1,1,100,0,0,8,81,1,10,15000,1,11
2019,201901,29326,2019000037833,18576.0,2019000293261,10104,1,3,20278.8,0,0,2,19,6,1,100,0,0,7,71,1,10,16000,1,11
2019,201901,29481,2019000045166,7430.4,2019000294811,30004,1,1,7430.4,2,2,2,29,1,1,100,1,100,10,101,1,10,20000,1,11
2019,201901,29481,2019000045166,7430.4,2019000294811,30004,1,2,928.8,2,2,1,34,1,1,100,0,0,7,71,1,10,80000,1,11
2019,201901,29636,2019000053921,19814.4,2019000296361,40004,1,1,19659.6,2,0,1,33,6,3,328,0,0,7,71,1,10,25000,1,11
2019,201901,29636,2019000053921,19814.4,2019000296361,40004,1,4,20433.6,0,0,1,29,6,3,328,0,0,7,71,1,10,12000,1,11
2019,201901,29790,2019000062366,16873.2,2019000297901,12604,1,1,16718.4,1,0,1,44,1,1,100,0,0,8,81,1,10,110000,1,11
2019,201901,29790,2019000062366,16873.2,2019000297901,12604,1,2,15325.2,1,0,2,45,1,1,100,0,0,7,71,1,10,65000,1,11
2019,201901,29945,2019000070108,8049.6,2019000299451,11004,1,1,8049.6,0,0,2,50,1,1,100,0,0,7,71,1,10,35000,1,11
2019,201901,29945,2019000070108,8049.6,2019000299451,11004,1,2,6037.2,0,0,1,52,1,1,100,0,0,6,65,1,10,70000,1,11
2019,201901,30255,2019000086813,9597.6,2019000302551,11004,1,3,14396.4,1,1,2,32,6,1,100,0,0,6,65,1,10,50000,1,11
2019,201901,30410,2019000093219,6192.0,2019000304101,10604,1,2,6811.2,1,0,2,40,1,1,100,0,0,6,63,1,10,34000,1,11
2019,201901,30874,2019000117840,36378.0,2019000308741,80704,1,1,36378.0,0,0,2,21,1,1,100,0,0,7,71,1,10,8000,1,11
2019,201901,30874,2019000117840,36378.0,2019000308741,80704,1,3,71827.2,1,0,1,48,1,1,100,0,0,6,64,1,10,40000,1,11
2019,201901,30874,2019000117840,36378.0,2019000308741,80704,1,4,61610.4,1,0,2,41,1,1,100,0,0,7,71,1,10,100000,1,11
2019,201901,31338,2019000141906,7740.0,2019000313381,30004,1,1,7894.8,0,0,1,52,4,1,100,0,0,7,71,1,10,38000,2,20
2019,201901,31648,2019000157850,15170.4,2019000316481,12804,1,2,16408.8,0,0,1,55,1,6,610,0,0,11,114,1,10,10000,1,11
2019,201901,32112,2019000181326,8514.0,2019000321121,12104,1,1,8514.0,0,0,1,26,6,1,100,0,0,10,101,1,10,54000,1,11
2019,201901,32267,2019000188447,6037.2,2019000322671,30004,1,2,7740.0,1,1,1,28,6,8,856,1,100,4,40,1,10,80000,1,11
2019,201901,32422,2019000196154,6656.4,2019000324221,12804,1,1,6656.4,2,0,1,42,1,1,100,0,0,10,101,1,10,114000,1,11
2019,201901,32422,2019000196154,6656.4,2019000324221,12804,1,2,6346.8,2,0,2,39,1,1,100,0,0,11,114,1,10,100000,1,11
2019,201901,32577,2019000203101,9597.6,2019000325771,11704,1,1,9597.6,2,0,1,50,1,1,100,0,0,11,115,1,10,72000,1,11
2019,201901,32577,2019000203101,9597.6,2019000325771,11704,1,2,8204.4,2,0,2,43,1,1,100,0,0,10,101,1,10,20000,1,11
2019,201901,32886,2019000219150,35449.2,2019000328861,11104,1,1,35449.2,0,0,1,56,2,1,100,0,0,11,114,1,10,112000,1,11
2019,201901,33041,2019000227188,9597.6,2019000330411,80304,1,1,9442.8,3,1,1,37,1,1,100,0,0,10,101,1,10,50000,1,11
2019,201901,33041,2019000227188,9597.6,2019000330411,80304,1,2,17028.0,3,1,2,32,1,6,600,0,0,6,63,1,10,17000,1,11
2019,201901,33196,2019000234529,15015.6,2019000331961,20904,1,1,14860.8,1,0,1,54,6,7,700,1,100,6,65,1,10,42000,1,11
2019,201901,33196,2019000234529,15015.6,2019000331961,20904,1,2,20433.6,0,0,1,32,6,7,700,1,100,6,65,1,10,20000,1,11
2019,201901,33351,2019000242270,2012.4,2019000333511,80704,1,1,2012.4,2,0,2,35,4,3,362,1,100,6,65,1,10,32000,1,11
2019,201901,33506,2019000250058,8668.8,2019000335061,10104,1,1,8668.8,0,0,1,27,6,1,100,0,0,11,115,1,10,50000,1,11
2019,201901,33660,2019000257956,10836.0,2019000336601,11204,1,1,10836.0,0,0,1,59,1,1,100,0,0,10,101,1,10,389000,1,11
2019,201901,33815,2019000265678,11919.6,2019000338151,11404,1,1,11919.6,2,0,2,56,1,1,100,0,0,7,71,1,10,0,1,11
2019,201901,33815,2019000265678,11919.6,2019000338151,11404,1,2,14860.8,2,0,1,51,1,1,100,0,0,6,65,1,10,45000,1,11
2019,201901,33815,2019000265678,11919.6,2019000338151,11404,1,3,11919.6,0,0,1,18,6,1,100,0,0,6,63,1,10,200,1,11
2019,201901,33970,2019000273472,17337.6,2019000339701,12304,1,1,17182.8,2,1,2,31,1,1,100,1,100,8,81,1,10,32000,1,11
2019,201901,33970,2019000273472,17337.6,2019000339701,12304,1,2,19504.8,2,1,1,32,1,1,100,1,100,6,65,1,10,40000,1,11
2019,201901,34280,2019000288103,17647.2,2019000342801,10504,1,1,17802.0,2,0,2,39,1,1,100,0,0,10,101,1,10,60000,1,11
2019,201901,34280,2019000288103,17647.2,2019000342801,10504,1,2,17337.6,2,0,1,42,1,1,100,0,0,6,63,1,10,91000,1,11
2019,201901,34434,2019000296112,10216.8,2019000344341,20604,1,1,10216.8,0,0,1,21,6,1,100,0,0,4,40,1,10,26000,1,11
2019,201901,34589,2019000303196,19814.4,2019000345891,10904,1,1,19814.4,1,0,2,51,4,1,100,2,200,10,101,1,10,58000,1,11
2019,201901,34744,2019000311204,7275.6,2019000347441,80704,1,2,8978.4,1,1,1,27,1,1,100,0,0,7,71,1,10,55000,1,13
2019,201901,34899,2019000319022,7740.0,2019000348991,10504,1,1,7740.0,2,0,1,53,4,1,100,0,0,10,101,1,10,25000,1,11
2019,201901,34899,2019000319022,7740.0,2019000348991,10504,1,2,8978.4,0,0,1,21,6,1,100,0,0,7,71,1,10,31200,1,11
2019,201901,35054,2019000326676,44427.6,2019000350541,40004,1,1,44427.6,2,1,1,29,1,1,100,1,100,7,71,1,10,25000,1,11
2019,201901,35054,2019000326676,44427.6,2019000350541,40004,1,2,58978.8,2,1,2,20,1,1,100,0,0,10,101,1,10,43000,1,11
2019,201901,35208,2019000334098,45666.0,2019000352081,10104,1,2,69660.0,0,0,2,49,6,2,200,0,0,10,101,1,10,75000,1,11
2019,201901,35363,2019000340816,7740.0,2019000353631,13304,1,1,7740.0,1,1,1,28,1,1,100,0,0,8,81,1,10,8000,1,11
2019,201901,35673,2019000356232,9752.4,2019000356731,10504,1,2,9597.6,3,0,1,44,1,1,100,0,0,11,114,1,10,72000,1,11
2019,201901,35673,2019000356232,9752.4,2019000356731,10504,1,3,11764.8,0,0,1,18,6,1,100,0,0,6,63,1,10,3000,1,11
2019,201901,35828,2019000364384,12848.4,2019000358281,12704,1,1,12693.6,0,0,1,51,1,1,100,0,0,10,101,1,10,83000,1,11
2019,201901,35828,2019000364384,12848.4,2019000358281,12704,1,2,11919.6,0,0,2,47,1,1,100,0,0,10,101,1,10,0,1,11
2019,201901,36137,2019000379821,34675.2,2019000361371,80704,1,1,34520.4,0,0,1,42,1,3,315,0,0,7,71,1,10,40000,1,11
2019,201901,36137,2019000379821,34675.2,2019000361371,80704,1,2,20743.2,0,0,2,43,1,3,315,0,0,8,81,1,10,30000,1,11
2019,201901,36137,2019000379821,34675.2,2019000361371,80704,1,3,36687.6,1,1,2,27,6,3,315,0,0,6,63,1,10,21000,2,20
2019,201901,36447,2019000395250,10216.8,2019000364471,11504,1,3,14086.8,0,0,2,36,6,1,100,1,100,10,101,1,10,13000,1,11
2019,201901,36602,2019000402726,9442.8,2019000366021,11504,1,1,9442.8,2,0,2,54,3,1,100,0,0,7,71,1,10,54000,1,11
2019,201901,36602,2019000402726,9442.8,2019000366021,11504,1,3,8823.6,0,0,1,22,6,1,100,0,0,6,63,1,10,0,1,11
2019,201901,36911,2019000419585,29566.8,2019000369111,40004,1,1,29566.8,0,0,1,25,6,1,100,0,0,6,65,1,10,117000,1,11
2019,201901,37066,2019000427696,32662.8,2019000370661,80004,1,1,32662.8,1,1,1,23,6,1,100,1,100,7,71,1,10,27000,1,11
2019,201901,37066,2019000427696,32662.8,2019000370661,80004,1,2,17647.2,1,1,2,20,6,1,100,1,100,6,65,1,10,800,1,11
